epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2221.78,0.50973,1.3559,0.44509,0.99885,0.92509,0.89198,0.9474,0.80861,0.65197,0.60681,0.55182,0.41349,0.62602,1.37207,0.53779,1.12596,0.000742815,0.000742815,0.000742815
58,2260.52,0.51293,1.3639,0.4488,1.00449,0.88791,0.90358,0.9483,0.80521,0.66178,0.58961,0.55566,0.41888,0.63544,1.37748,0.52182,1.13522,0.000726312,0.000726312,0.000726312
59,2299.56,0.50529,1.3057,0.44488,0.99678,0.90302,0.86942,0.94257,0.80764,0.67558,0.59381,0.56205,0.42389,0.63076,1.39596,0.55326,1.12674,0.000709809,0.000709809,0.000709809
60,2338.26,0.50572,1.35039,0.44835,0.99814,0.93687,0.87321,0.94766,0.80663,0.64646,0.60532,0.55266,0.41553,0.63951,1.36143,0.51885,1.13726,0.000693305,0.000693305,0.000693305
61,2376.85,0.50001,1.311,0.44034,0.99885,0.91648,0.872,0.94017,0.80524,0.60795,0.59115,0.53541,0.41289,0.61657,1.35869,0.55383,1.10315,0.000676802,0.000676802,0.000676802
62,2415.54,0.50629,1.3404,0.43674,0.99991,0.90168,0.9172,0.95305,0.81629,0.64298,0.59642,0.54759,0.41441,0.63104,1.32585,0.51451,1.12751,0.000660299,0.000660299,0.000660299
63,2454.32,0.50106,1.3324,0.44194,0.99362,0.91568,0.89217,0.94386,0.80871,0.6272,0.58602,0.53106,0.40935,0.6295,1.34293,0.5282,1.11513,0.000643795,0.000643795,0.000643795
64,2493.21,0.49258,1.30776,0.42723,0.99215,0.91308,0.8954,0.9402,0.80861,0.62499,0.60479,0.5341,0.4133,0.61686,1.33217,0.53062,1.11376,0.000627292,0.000627292,0.000627292
65,2532.06,0.49528,1.32919,0.42831,0.99144,0.92628,0.88263,0.94966,0.82343,0.65065,0.60656,0.55845,0.42313,0.61102,1.41869,0.53436,1.09751,0.000610789,0.000610789,0.000610789
66,2570.53,0.48986,1.24922,0.41932,0.98618,0.91451,0.88442,0.94168,0.81325,0.69118,0.64786,0.59239,0.43936,0.61257,1.42423,0.52599,1.10474,0.000594286,0.000594286,0.000594286
67,2608.65,0.50583,1.30618,0.42967,0.99678,0.92508,0.88735,0.94391,0.81074,0.6558,0.61493,0.56366,0.42535,0.63016,1.40169,0.52536,1.11996,0.000577782,0.000577782,0.000577782
68,2646.81,0.49062,1.2654,0.42372,0.98856,0.87506,0.91801,0.94082,0.80629,0.661,0.60814,0.56274,0.4191,0.61335,1.38399,0.54735,1.10487,0.000561279,0.000561279,0.000561279
69,2685.8,0.48834,1.26738,0.41752,0.98655,0.90657,0.90111,0.94673,0.81951,0.62774,0.61281,0.54612,0.41857,0.61332,1.36267,0.52939,1.09521,0.000544776,0.000544776,0.000544776
70,2724.44,0.48512,1.3007,0.42053,0.98775,0.92156,0.8975,0.94501,0.81538,0.6643,0.61178,0.58163,0.43143,0.61919,1.35944,0.5273,1.11059,0.000528272,0.000528272,0.000528272
71,2763.2,0.48491,1.24598,0.41393,0.98632,0.92432,0.88358,0.93922,0.80992,0.67495,0.61226,0.56252,0.42756,0.61065,1.36593,0.51435,1.10474,0.000511769,0.000511769,0.000511769
72,2802.02,0.48863,1.31983,0.4168,0.98637,0.91136,0.88309,0.94361,0.82005,0.62617,0.60737,0.55839,0.42799,0.61253,1.3591,0.5246,1.10545,0.000495266,0.000495266,0.000495266
